campaign_id,campaign_name,channel,date,impressions,clicks,conversions,cost,revenue,target_audience,region
CMP_007549,Winter Awareness,Google Ads,2026-02-19 18:06:32.560854,2714,110,7,359.91,842.41,Young Adults (18-24),Latin America
CMP_006516,Q1 Promo,Google Ads,2025-08-02 18:06:32.560854,15631,166,15,586.37,546.99,Professionals (25-34),Asia Pacific
CMP_005177,Holiday Launch,LinkedIn,2026-03-05 18:06:32.560854,1746,103,11,295.72,374.1,Seniors (45+),Latin America
CMP_000234,Q1 Promo,LinkedIn,2025-11-11 18:06:32.560854,21684,1885,151,1206.25,13422.89,Seniors (45+),Europe
CMP_000240,Winter Retargeting,LinkedIn,2025-07-08 18:06:32.560854,327,16,1,66.37,151.34,Adults (35-44),Latin America
CMP_002116,Summer Conversion,Facebook,2025-06-25 18:06:32.560854,9059,372,13,936.65,,Adults (35-44),Europe
CMP_007035,Holiday Conversion,Instagram,2025-10-26 18:06:32.560854,6435,263,21,245.77,1385.39,Young Adults (18-24),North America
CMP_006982,Winter Launch,Instagram,2025-11-26 18:06:32.560854,2573,136,3,214.12,274.37,Professionals (25-34),Asia Pacific
CMP_001887,Summer Conversion,Instagram,2025-04-07 18:06:32.560854,18376,479,30,447.87,1531.72,Seniors (45+),Asia Pacific
CMP_000812,Q3 Retention,Email,2026-02-21 18:06:32.560854,2595,151,13,394.02,1401.86,Professionals (25-34),Latin America
CMP_005506,Q1 Promo,Facebook,2025-07-10 18:06:32.560854,10488,534,60,1588.34,9072.27,,Latin America
CMP_003358,Winter Launch,Instagram,2025-10-03 18:06:32.560854,9530,560,62,1744.52,8844.95,Adults (35-44),Latin America
CMP_003609,Winter Launch,Instagram,2026-03-15 18:06:32.560854,10530,743,77,2252.88,9589.74,Young Adults (18-24),Europe
CMP_005664,Spring Retargeting,Facebook,2025-12-10 18:06:32.560854,8567,428,19,1219.02,2060.59,Young Adults (18-24),Asia Pacific
CMP_000335,Holiday Conversion,Facebook,2025-04-29 18:06:32.560854,12822,517,15,1122.16,1688.61,Seniors (45+),Latin America
CMP_003996,Holiday Launch,Instagram,2025-10-25 18:06:32.560854,53610,2317,272,9824.31,30445.67,Adults (35-44),Asia Pacific
CMP_004396,Winter Retargeting,Google Ads,2026-02-22 18:06:32.560854,106771,8166,737,27245.13,,Young Adults (18-24),North America
CMP_005046,Winter Launch,LinkedIn,2025-12-17 18:06:32.560854,40665,1855,148,3714.95,23836.57,Seniors (45+),Europe
CMP_005762,Winter Sale,Google Ads,2026-03-17 18:06:32.560854,10541,220,7,962.89,510.9,Adults (35-44),Asia Pacific
CMP_002400,Q2 Retention,LinkedIn,2025-12-27 18:06:32.560854,4002,189,6,350.94,659.47,Seniors (45+),Latin America
CMP_002305,Q2 Launch,Email,2026-03-16 18:06:32.560854,1472,127,4,335.99,376.58,Professionals (25-34),North America
CMP_001401,Fall Conversion,Facebook,2025-07-03 18:06:32.560854,3683,230,27,600.65,860.37,Young Adults (18-24),Asia Pacific
CMP_000112,Holiday Launch,Facebook,2025-06-30 18:06:32.560854,12061,486,55,2164.34,3061.96,Adults (35-44),Latin America
CMP_006384,Fall Conversion,LinkedIn,2025-08-09 18:06:32.560854,54408,4566,450,10416.5,33765.73,Adults (35-44),Europe
CMP_002639,Fall Conversion,Instagram,2026-03-21 18:06:32.560854,44278,2965,167,8573.01,7980.17,Seniors (45+),Asia Pacific
CMP_005308,Summer Conversion,Facebook,2025-10-06 18:06:32.560854,3299,148,11,350.13,,Professionals (25-34),North America
CMP_000320,Fall Awareness,Facebook,2025-08-10 18:06:32.560854,10210,147,16,417.6,2290.02,Adults (35-44),North America
CMP_002727,Fall Conversion,Email,2025-05-11 18:06:32.560854,11548,497,29,2053.19,2449.32,Seniors (45+),Europe
CMP_002956,Winter Launch,Instagram,2026-01-13 18:06:32.560854,2175,85,5,148.42,280.07,Professionals (25-34),North America
CMP_005833,Winter Launch,Google Ads,2026-02-15 18:06:32.560854,5117,77,7,145.01,1196.65,Young Adults (18-24),Europe
CMP_007581,Summer Conversion,Instagram,2026-01-07 18:06:32.560854,20272,365,13,724.84,2254.21,Professionals (25-34),Asia Pacific
CMP_001576,Winter Launch,LinkedIn,2025-05-27 18:06:32.560854,11997,551,19,2034.77,1365.72,Professionals (25-34),Europe
CMP_001740,Summer Promo,Email,2025-10-15 18:06:32.560854,6503,377,8,1277.13,688.29,Seniors (45+),Europe
CMP_003185,Winter Launch,Google Ads,2025-11-19 18:06:32.560854,6671,466,50,1741.83,1268.5,Young Adults (18-24),North America
CMP_004311,Winter Launch,Instagram,2025-08-22 18:06:32.560854,42606,3405,221,11180.87,12386.12,Adults (35-44),Latin America
CMP_004140,Q2 Launch,Facebook,2025-12-03 18:06:32.560854,4230,116,2,185.41,175.25,Young Adults (18-24),Latin America
CMP_004303,Q3 Retention,Email,2026-01-30 18:06:32.560854,10091,358,38,336.16,2370.28,Seniors (45+),Latin America
CMP_006600,Fall Conversion,Email,2025-12-10 18:06:32.560854,7186,566,41,1510.78,6893.73,Professionals (25-34),Asia Pacific
CMP_002264,Fall Conversion,LinkedIn,2025-10-25 18:06:32.560854,8282,544,59,2103.8,8169.12,Adults (35-44),Europe
CMP_004490,Q3 Retention,Email,2025-12-05 18:06:32.560854,4462,317,6,758.74,581.38,Adults (35-44),Asia Pacific
CMP_005483,Q2 Launch,Google Ads,2025-10-26 18:06:32.560854,2072,130,15,183.05,2377.17,Young Adults (18-24),North America
CMP_005104,Q2 Retention,Facebook,2025-09-14 18:06:32.560854,16079,1118,62,2160.36,4818.33,Seniors (45+),Europe
CMP_000867,Q2 Retention,LinkedIn,2025-06-27 18:06:32.560854,29800,1246,118,3403.69,,Professionals (25-34),Asia Pacific
CMP_006644,Winter Awareness,Facebook,2026-03-07 18:06:32.560854,21993,1247,149,967.83,15017.73,Adults (35-44),Asia Pacific
CMP_001194,Q2 Retention,Google Ads,2025-12-23 18:06:32.560854,4445,98,6,265.96,425.23,Professionals (25-34),Asia Pacific
CMP_006062,Q2 Retention,Google Ads,2025-09-14 18:06:32.560854,4485,51,2,210.01,95.0,Young Adults (18-24),Europe
CMP_006224,Q2 Retargeting,Google Ads,2025-09-27 18:06:32.560854,17748,1345,137,2309.21,,Professionals (25-34),North America
CMP_004276,Summer Conversion,Facebook,2025-12-11 18:06:32.560854,4558,138,3,312.9,366.78,Adults (35-44),Latin America
CMP_002095,Summer Promo,Instagram,2025-08-26 18:06:32.560854,24595,1183,43,743.14,4144.33,Seniors (45+),Europe
CMP_003275,Fall Conversion,Instagram,2026-02-21 18:06:32.560854,1173,25,1,73.11,,Adults (35-44),Asia Pacific
CMP_001329,Winter Retargeting,Google Ads,2026-01-03 18:06:32.560854,29363,2042,243,6385.77,22498.76,Young Adults (18-24),Asia Pacific
CMP_000223,Holiday Conversion,Instagram,2025-05-26 18:06:32.560854,31058,994,61,1726.73,4015.06,Professionals (25-34),Latin America
CMP_004889,Q2 Launch,LinkedIn,2025-04-17 18:06:32.560854,6683,110,4,300.66,594.58,Professionals (25-34),Europe
CMP_000764,Q3 Retention,Email,2026-01-27 18:06:32.560854,2625,68,1,226.95,145.28,Young Adults (18-24),Latin America
CMP_004944,Q3 Retention,Instagram,2025-09-26 18:06:32.560854,7366,264,22,937.81,,Professionals (25-34),Latin America
CMP_000697,Spring Retargeting,Google Ads,2025-08-27 18:06:32.560854,8053,686,75,1653.92,6062.63,Professionals (25-34),Europe
CMP_007110,Q2 Retargeting,Instagram,2025-10-15 18:06:32.560854,13384,143,6,503.93,164.07,Professionals (25-34),Europe
CMP_005651,Holiday Retention,Google Ads,2026-01-26 18:06:32.560854,5000,349,29,1411.48,1948.93,Professionals (25-34),North America
CMP_005328,Fall Awareness,Facebook,2025-06-27 18:06:32.560854,70843,1533,27,3994.89,3653.19,Professionals (25-34),Asia Pacific
CMP_004483,Q3 Retention,Google Ads,2025-12-02 18:06:32.560854,53982,3126,177,6332.06,11141.43,Young Adults (18-24),Asia Pacific
CMP_007215,Holiday Conversion,Facebook,2025-06-23 18:06:32.560854,13959,243,28,720.7,1296.82,Professionals (25-34),Asia Pacific
CMP_007947,Spring Retargeting,LinkedIn,2025-12-24 18:06:32.560854,14541,319,29,1061.32,4955.68,Professionals (25-34),North America
CMP_001559,Fall Conversion,Facebook,2026-02-22 18:06:32.560854,95323,6811,721,18358.25,23227.07,Young Adults (18-24),Latin America
CMP_001384,Winter Launch,Instagram,2025-08-14 18:06:32.560854,23926,720,76,2613.28,9981.92,Young Adults (18-24),North America
CMP_006393,Holiday Launch,Google Ads,2026-01-29 18:06:32.560854,3568,68,5,240.5,145.92,Seniors (45+),North America
CMP_006690,Summer Promo,Google Ads,2025-05-15 18:06:32.560854,3992,85,2,372.07,105.36,Adults (35-44),Latin America
CMP_007725,Winter Launch,LinkedIn,2026-03-09 18:06:32.560854,5369,143,8,102.64,490.6,Adults (35-44),Europe
CMP_001375,Winter Sale,Email,2025-08-09 18:06:32.560854,6263,124,5,528.8,,Seniors (45+),Asia Pacific
CMP_003606,Q1 Promo,Instagram,2025-07-10 18:06:32.560854,131548,4410,390,7055.76,49970.3,Professionals (25-34),North America
CMP_004158,Q1 Promo,Email,2026-02-24 18:06:32.560854,60666,4544,536,18507.97,63120.86,Adults (35-44),Latin America
CMP_001889,Summer Conversion,Email,2026-01-22 18:06:32.560854,16728,776,85,1790.14,12526.86,Adults (35-44),Europe
CMP_005028,Winter Launch,LinkedIn,2025-05-03 18:06:32.560854,4674,394,35,1598.9,5120.27,Professionals (25-34),Europe
CMP_004604,Holiday Launch,Instagram,2025-09-28 18:06:32.560854,1047,44,2,157.29,349.42,Professionals (25-34),Latin America
CMP_002677,Q2 Retargeting,Email,2025-09-27 18:06:32.560854,17166,1179,50,3199.24,2098.86,Professionals (25-34),North America
CMP_004976,Q3 Retention,Instagram,2025-10-27 18:06:32.560854,8214,503,35,2227.58,3830.02,Professionals (25-34),Asia Pacific
CMP_004818,Q3 Retention,LinkedIn,2026-02-16 18:06:32.560854,25966,1884,62,2783.66,5274.69,Adults (35-44),North America
CMP_005002,Q2 Retargeting,Google Ads,2025-11-05 18:06:32.560854,595,14,0,54.46,0.0,Adults (35-44),Latin America
CMP_003892,Fall Awareness,Email,2025-11-24 18:06:32.560854,7931,231,22,771.73,3050.15,Adults (35-44),Europe
CMP_006417,Q1 Promo,Instagram,2025-10-04 18:06:32.560854,82926,6003,614,18870.1,24418.37,Seniors (45+),Asia Pacific
CMP_003051,Summer Promo,LinkedIn,2025-07-21 18:06:32.560854,2419,135,12,558.55,1996.14,Adults (35-44),North America
CMP_005406,Q2 Retargeting,Facebook,2026-03-08 18:06:32.560854,17100,964,93,1712.64,7306.64,Professionals (25-34),Latin America
CMP_003464,Q2 Retargeting,Google Ads,2025-12-16 18:06:32.560854,5641,253,24,267.91,1192.68,,North America
CMP_002759,Q1 Promo,Instagram,2026-01-17 18:06:32.560854,7168,192,11,406.22,993.44,Seniors (45+),North America
CMP_002756,Holiday Launch,LinkedIn,2025-08-27 18:06:32.560854,7059,293,18,1179.04,1487.63,Adults (35-44),North America
CMP_001164,Q2 Retention,Google Ads,2026-01-27 18:06:32.560854,2885,179,4,711.83,196.87,Professionals (25-34),North America
CMP_000541,Fall Conversion,LinkedIn,2026-03-22 18:06:32.560854,76518,4002,284,15338.28,45475.83,Young Adults (18-24),Europe
CMP_006735,Q1 Promo,Google Ads,2025-06-30 18:06:32.560854,75758,3988,236,6860.03,13326.5,Professionals (25-34),Europe
CMP_001018,Summer Promo,Email,2025-12-06 18:06:32.560854,924,72,1,255.33,39.84,Adults (35-44),Asia Pacific
CMP_001282,Holiday Retention,Email,2026-01-16 18:06:32.560854,41655,1796,44,1895.42,3982.82,Adults (35-44),Latin America
CMP_002167,Summer Conversion,LinkedIn,2025-12-27 18:06:32.560854,1899,87,6,113.99,967.77,Adults (35-44),North America
CMP_006152,Q2 Launch,LinkedIn,2025-11-27 18:06:32.560854,4289,341,31,158.43,1463.96,,Asia Pacific
CMP_000555,Q1 Promo,LinkedIn,2026-03-03 18:06:32.560854,9717,722,31,2124.63,2088.2,Adults (35-44),Europe
CMP_004899,Winter Sale,Instagram,2025-05-24 18:06:32.560854,24057,1067,30,3218.84,5075.02,Seniors (45+),Asia Pacific
CMP_006258,Q2 Retention,Google Ads,2026-01-04 18:06:32.560854,1420,77,2,48.04,86.32,Professionals (25-34),Europe
CMP_000102,Fall Conversion,Facebook,2025-12-27 18:06:32.560854,14840,978,54,1259.95,6084.64,Young Adults (18-24),Latin America
CMP_005175,Q2 Launch,Facebook,2025-10-26 18:06:32.560854,33035,710,65,1015.83,8698.52,Professionals (25-34),North America
CMP_003981,Winter Retargeting,Instagram,2026-02-20 18:06:32.560854,28300,1465,156,1381.96,14212.29,Professionals (25-34),Latin America
CMP_006808,Winter Launch,Facebook,2025-10-19 18:06:32.560854,2476,70,7,199.23,181.22,Seniors (45+),North America
CMP_003535,Q3 Retention,Instagram,2025-08-02 18:06:32.560854,27714,268,14,1099.53,708.46,Professionals (25-34),Asia Pacific
CMP_002032,Winter Sale,Google Ads,2025-12-05 18:06:32.560854,19052,724,78,1074.48,9861.18,Seniors (45+),Latin America
CMP_006590,Fall Conversion,LinkedIn,2026-02-09 18:06:32.560854,4832,291,4,959.59,259.03,Professionals (25-34),Europe
CMP_002125,Summer Promo,Instagram,2026-03-29 18:06:32.560854,21951,590,53,1587.07,4028.08,Adults (35-44),Latin America
CMP_007494,Winter Awareness,LinkedIn,2025-12-07 18:06:32.560854,14008,596,34,2582.32,4127.33,Seniors (45+),Europe
CMP_001347,Summer Promo,LinkedIn,2025-09-19 18:06:32.560854,2448,46,3,50.37,268.52,Seniors (45+),Latin America
CMP_000319,Q2 Launch,Email,2025-06-27 18:06:32.560854,466,21,0,85.73,0.0,Seniors (45+),Asia Pacific
CMP_005894,Winter Launch,Email,2025-07-15 18:06:32.560854,14881,1125,105,3131.38,7335.31,Adults (35-44),North America
CMP_000430,Winter Launch,Google Ads,2025-06-07 18:06:32.560854,2805,70,2,311.84,133.08,Seniors (45+),Asia Pacific
CMP_005287,Fall Awareness,Google Ads,2026-03-29 18:06:32.560854,5602,267,24,920.75,2793.79,Young Adults (18-24),Europe
CMP_007987,Winter Sale,LinkedIn,2026-02-07 18:06:32.560854,6419,370,21,1605.47,1580.28,Adults (35-44),Latin America
CMP_000519,Winter Awareness,Facebook,2026-03-30 18:06:32.560854,88472,5270,260,21685.01,17289.63,Young Adults (18-24),Latin America
CMP_006383,Holiday Retention,LinkedIn,2025-04-19 18:06:32.560854,2773,157,17,335.79,2276.41,Young Adults (18-24),Asia Pacific
CMP_004451,Q3 Retention,Facebook,2025-10-17 18:06:32.560854,545,34,1,18.0,128.79,Young Adults (18-24),Europe
CMP_004032,Fall Conversion,Google Ads,2025-08-19 18:06:32.560854,6765,226,18,748.88,1033.86,Professionals (25-34),Asia Pacific
CMP_001804,Winter Launch,Google Ads,2025-08-30 18:06:32.560854,752,26,0,78.69,0.0,Seniors (45+),Europe
CMP_001181,Winter Retargeting,LinkedIn,2026-03-24 18:06:32.560854,4144,242,25,951.55,1879.29,Adults (35-44),Europe
CMP_004292,Winter Retargeting,Instagram,2025-05-18 18:06:32.560854,22079,509,27,420.62,3708.32,Professionals (25-34),Europe
CMP_005657,Holiday Launch,Email,2026-01-08 18:06:32.560854,2981,87,5,117.82,472.85,Seniors (45+),North America
CMP_007229,Q2 Launch,Email,2026-03-20 18:06:32.560854,17421,241,23,768.31,2661.68,Young Adults (18-24),Latin America
CMP_003694,Holiday Conversion,LinkedIn,2025-08-03 18:06:32.560854,38612,2062,217,5996.89,29336.23,Adults (35-44),Latin America
CMP_002649,Fall Conversion,Facebook,2025-10-22 18:06:32.560854,10777,801,23,1848.43,3249.26,Seniors (45+),Asia Pacific
CMP_005075,Q3 Retention,Google Ads,2026-03-26 18:06:32.560854,8022,460,42,771.17,3510.28,Seniors (45+),Europe
CMP_002555,Holiday Conversion,LinkedIn,2025-05-14 18:06:32.560854,10398,181,8,364.96,646.69,Seniors (45+),Latin America
CMP_001413,Winter Launch,LinkedIn,2025-08-19 18:06:32.560854,38521,1820,123,833.92,14556.88,Adults (35-44),North America
CMP_006533,Summer Conversion,Facebook,2026-03-15 18:06:32.560854,14700,371,9,1561.95,1181.81,Young Adults (18-24),Asia Pacific
CMP_001011,Holiday Launch,Google Ads,2025-07-28 18:06:32.560854,10601,606,38,1632.37,6119.51,Professionals (25-34),North America
CMP_002883,Winter Launch,Email,2025-07-22 18:06:32.560854,6598,541,37,675.6,5324.24,Professionals (25-34),Latin America
CMP_002541,Q3 Retention,Email,2026-01-03 18:06:32.560854,7448,115,10,292.6,667.21,Professionals (25-34),Latin America
CMP_002810,Holiday Conversion,Email,2026-01-20 18:06:32.560854,15491,1001,112,1644.57,14252.73,Seniors (45+),Europe
CMP_001929,Holiday Retention,Email,2025-12-29 18:06:32.560854,8165,636,75,2412.0,13155.22,Professionals (25-34),Europe
CMP_000683,Fall Conversion,LinkedIn,2025-07-05 18:06:32.560854,1799,132,9,229.51,383.04,Seniors (45+),North America
CMP_003972,Winter Launch,LinkedIn,2025-11-29 18:06:32.560854,25026,290,6,362.9,,Professionals (25-34),North America
CMP_002516,Q2 Retargeting,Email,2026-03-15 18:06:32.560854,8933,795,86,1073.0,10067.56,Young Adults (18-24),Asia Pacific
CMP_007942,Summer Promo,Google Ads,2025-12-29 18:06:32.560854,6511,373,10,1330.0,,Young Adults (18-24),Europe
CMP_004794,Q2 Retention,LinkedIn,2025-08-30 18:06:32.560854,16981,524,33,1602.56,2666.84,Adults (35-44),North America
CMP_004797,Q3 Retention,Email,2025-07-01 18:06:32.560854,15897,143,10,560.53,1001.66,Seniors (45+),Europe
CMP_000749,Fall Conversion,Instagram,2026-03-10 18:06:32.560854,25883,2010,72,2497.73,3733.72,Young Adults (18-24),North America
CMP_007945,Q3 Retention,LinkedIn,2025-10-03 18:06:32.560854,50251,2438,161,4039.46,28611.44,Young Adults (18-24),Asia Pacific
CMP_002719,Q2 Retention,Email,2026-02-23 18:06:32.560854,10161,723,14,2138.87,953.24,Adults (35-44),Latin America
CMP_007959,Holiday Retention,Instagram,2025-06-24 18:06:32.560854,3504,130,14,233.68,794.91,Seniors (45+),Latin America
CMP_001075,Summer Promo,Facebook,2026-03-30 18:06:32.560854,14144,777,83,1605.67,7865.57,,Europe
CMP_007901,Spring Retargeting,LinkedIn,2025-12-09 18:06:32.560854,1645,80,3,99.33,323.47,Professionals (25-34),Asia Pacific
CMP_002834,Fall Conversion,Email,2025-08-27 18:06:32.560854,4282,76,5,236.36,536.43,Adults (35-44),Latin America
CMP_001104,Holiday Launch,Instagram,2026-03-15 18:06:32.560854,59797,3959,109,10048.37,7875.73,Adults (35-44),North America
CMP_006699,Q2 Retargeting,Email,2026-02-14 18:06:32.560854,8218,356,18,587.94,2486.3,Seniors (45+),Europe
CMP_006087,Winter Awareness,Instagram,2026-01-31 18:06:32.560854,4205,273,9,1055.98,464.85,Adults (35-44),North America
CMP_001536,Q3 Retention,Google Ads,2025-06-10 18:06:32.560854,7380,127,1,330.92,67.25,Adults (35-44),Asia Pacific
CMP_004442,Holiday Launch,Instagram,2026-02-19 18:06:32.560854,5061,328,16,1400.33,1000.88,Young Adults (18-24),Latin America
CMP_004013,Fall Awareness,Facebook,2026-01-14 18:06:32.560854,3697,283,31,436.89,3791.61,Seniors (45+),Asia Pacific
CMP_004665,Winter Awareness,Email,2026-02-19 18:06:32.560854,17366,174,10,668.58,628.55,Seniors (45+),Europe
CMP_007264,Fall Conversion,Email,2025-04-02 18:06:32.560854,3674,183,7,531.36,948.14,Adults (35-44),Asia Pacific
CMP_007031,Summer Conversion,LinkedIn,2026-01-05 18:06:32.560854,14568,576,39,902.56,5860.49,Seniors (45+),North America
CMP_000264,Q2 Retargeting,LinkedIn,2025-11-20 18:06:32.560854,18933,467,27,359.94,1823.23,Young Adults (18-24),Asia Pacific
CMP_006246,Holiday Retention,Facebook,2025-12-18 18:06:32.560854,9909,191,18,333.49,788.48,Adults (35-44),Asia Pacific
CMP_007088,Holiday Retention,Email,2025-12-22 18:06:32.560854,3802,183,17,246.34,971.31,Seniors (45+),North America
CMP_001407,Q1 Promo,Facebook,2026-02-23 18:06:32.560854,3387,267,6,1085.41,249.9,Young Adults (18-24),Europe
CMP_002518,Q2 Launch,LinkedIn,2025-11-06 18:06:32.560854,11169,537,22,1745.71,3613.92,Adults (35-44),North America
CMP_002671,Winter Retargeting,Facebook,2025-12-30 18:06:32.560854,3674,178,9,743.04,505.8,Adults (35-44),Europe
CMP_001863,Spring Retargeting,Facebook,2025-07-08 18:06:32.560854,970,20,1,88.19,150.83,Young Adults (18-24),North America
CMP_003001,Fall Conversion,Instagram,2026-01-07 18:06:32.560854,15386,692,75,504.37,11221.18,Seniors (45+),North America
CMP_003077,Q2 Launch,LinkedIn,2026-03-20 18:06:32.560854,5015,203,21,656.89,2217.27,,Asia Pacific
CMP_007863,Holiday Retention,Facebook,2025-04-07 18:06:32.560854,2318,38,3,109.27,,Young Adults (18-24),North America
CMP_007957,Fall Awareness,Google Ads,2026-01-06 18:06:32.560854,27459,2412,81,5278.39,12900.57,Young Adults (18-24),Europe
CMP_001941,Summer Promo,LinkedIn,2025-05-07 18:06:32.560854,6577,378,15,623.46,1409.6,Seniors (45+),Asia Pacific
CMP_001019,Winter Launch,Email,2026-03-12 18:06:32.560854,17368,346,29,369.14,1319.09,Seniors (45+),Latin America
CMP_001035,Winter Launch,Instagram,2025-05-17 18:06:32.560854,7755,244,28,1008.87,1265.38,Seniors (45+),North America
CMP_006570,Fall Conversion,Google Ads,2025-10-17 18:06:32.560854,9288,386,23,1500.14,4054.67,Young Adults (18-24),North America
CMP_002648,Holiday Launch,Email,2025-11-14 18:06:32.560854,15863,577,68,2015.63,3187.2,Professionals (25-34),North America
CMP_001184,Q2 Launch,Email,2026-03-16 18:06:32.560854,3816,287,24,625.59,1232.96,Seniors (45+),North America
CMP_007432,Winter Awareness,Email,2025-10-31 18:06:32.560854,1677,25,1,74.81,,Professionals (25-34),Europe
CMP_006974,Winter Launch,LinkedIn,2025-10-14 18:06:32.560854,1427,50,2,63.52,349.86,Seniors (45+),Asia Pacific
CMP_001741,Q2 Retention,Instagram,2026-02-18 18:06:32.560854,1436,86,6,245.69,889.61,Seniors (45+),Europe
CMP_002133,Holiday Conversion,Email,2025-12-04 18:06:32.560854,5734,189,13,558.73,403.69,Adults (35-44),North America
CMP_001079,Q3 Retention,Google Ads,2025-07-27 18:06:32.560854,24785,2022,164,2185.67,11536.18,Young Adults (18-24),Asia Pacific
CMP_003955,Fall Conversion,Instagram,2025-08-02 18:06:32.560854,18454,621,12,2750.5,1864.74,Seniors (45+),Asia Pacific
CMP_003456,Q2 Retargeting,Instagram,2025-07-03 18:06:32.560854,4470,157,3,593.36,206.6,Seniors (45+),North America
CMP_003699,Summer Promo,LinkedIn,2026-03-17 18:06:32.560854,3589,204,5,617.14,165.25,Adults (35-44),Asia Pacific
CMP_005428,Winter Launch,Facebook,2025-08-06 18:06:32.560854,15343,728,27,1194.84,2384.3,Adults (35-44),Latin America
CMP_005113,Spring Retargeting,LinkedIn,2025-12-16 18:06:32.560854,8444,313,13,286.89,1065.35,Young Adults (18-24),North America
CMP_004354,Summer Conversion,Email,2026-03-23 18:06:32.560854,46418,2183,131,4705.58,4178.09,Seniors (45+),North America
CMP_005056,Winter Launch,Instagram,2026-01-03 18:06:32.560854,17218,606,34,1018.31,1120.46,Seniors (45+),Latin America
CMP_003640,Winter Retargeting,Instagram,2025-07-22 18:06:32.560854,70391,2415,259,5792.34,46573.5,Professionals (25-34),Europe
CMP_001169,Holiday Launch,Facebook,2025-04-05 18:06:32.560854,25280,998,67,2040.5,7973.04,Seniors (45+),Europe
CMP_005788,Winter Launch,Instagram,2026-02-16 18:06:32.560854,717,25,0,95.56,0.0,Adults (35-44),Asia Pacific
CMP_003183,Fall Awareness,LinkedIn,2025-09-04 18:06:32.560854,1352,36,3,128.99,169.69,Adults (35-44),North America
CMP_007518,Summer Conversion,LinkedIn,2025-08-05 18:06:32.560854,9936,548,31,516.0,2141.28,Adults (35-44),Latin America
CMP_005197,Fall Conversion,LinkedIn,2026-01-26 18:06:32.560854,6067,160,16,173.96,2613.78,Adults (35-44),Latin America
CMP_006649,Winter Retargeting,Email,2026-01-11 18:06:32.560854,17759,851,26,3123.78,2771.75,Young Adults (18-24),Europe
CMP_007851,Winter Launch,Email,2025-09-02 18:06:32.560854,32880,794,29,1162.52,4765.43,Seniors (45+),Latin America
CMP_001616,Holiday Retention,Facebook,2026-01-06 18:06:32.560854,4681,257,11,886.78,897.78,Adults (35-44),Latin America
CMP_000731,Q3 Retention,Google Ads,2025-07-01 18:06:32.560854,14781,414,44,1269.9,5438.94,Young Adults (18-24),Europe
CMP_007565,Holiday Launch,LinkedIn,2025-11-14 18:06:32.560854,19190,412,11,214.71,947.27,Young Adults (18-24),Asia Pacific
CMP_003650,Summer Promo,Google Ads,2026-04-01 18:06:32.560854,10645,423,7,341.03,1108.37,Seniors (45+),Asia Pacific
CMP_003853,Winter Retargeting,Email,2025-12-20 18:06:32.560854,8888,493,31,401.05,5209.23,,North America
